fecha_compra,producto,categoria,cantidad,precio_unitario,cliente,ciudad,metodo_pago,estado_envio,total_venta
2024-08-16,Arroz,Despensa,4,34.4,Cliente_67,Guadalajara,PayPal,Entregado,137.6
2024-04-20,Televisión,Electrónica,5,10691.15,Cliente_28,Mérida,Tarjeta,En camino,53455.75
2024-05-15,Papel Higiénico,Hogar,2,91.47,Cliente_44,Monterrey,PayPal,Cancelado,182.94
2024-12-27,Shampoo,Cuidado Personal,6,84.05,Cliente_79,Querétaro,Efectivo,Entregado,504.3
2024-07-04,Televisión,Electrónica,5,13117.21,Cliente_41,Toluca,PayPal,En camino,65586.05
2024-05-23,Pan,Alimentos,2,28.75,Cliente_63,Monterrey,PayPal,Entregado,57.5
2024-03-12,Detergente,Limpieza,5,95.96,Cliente_23,CDMX,PayPal,Entregado,479.8
2024-05-08,Shampoo,Cuidado Personal,6,89.85,Cliente_75,Toluca,PayPal,Cancelado,539.1
2024-12-29,Pan,Alimentos,3,30.56,Cliente_48,Monterrey,Tarjeta,En camino,91.68
2024-09-17,Cereal,Alimentos,3,75.88,Cliente_32,Puebla,PayPal,Cancelado,227.64
2024-01-03,Shampoo,Cuidado Personal,3,98.78,Cliente_57,Toluca,Tarjeta,Cancelado,296.34
2024-04-13,Cereal,Alimentos,3,78.76,Cliente_100,Toluca,PayPal,Entregado,236.28
2024-08-11,Papel Higiénico,Hogar,7,101.54,Cliente_33,Guadalajara,Transferencia,Cancelado,710.78
2024-11-15,Pan,Alimentos,1,27.71,Cliente_24,Puebla,Efectivo,En camino,27.71
2024-12-27,Detergente,Limpieza,7,90.1,Cliente_39,CDMX,PayPal,Cancelado,630.7
2024-12-19,Televisión,Electrónica,7,12773.31,Cliente_34,Querétaro,Transferencia,Cancelado,89413.17
2024-01-10,Licuadora,Electrónica,7,1856.08,Cliente_56,Mérida,PayPal,Cancelado,12992.56
2024-10-28,Arroz,Despensa,3,46.83,Cliente_28,Monterrey,PayPal,Entregado,140.49
2024-08-18,Leche,Alimentos,6,28.3,Cliente_37,Guadalajara,PayPal,En camino,169.8
2024-08-06,Detergente,Limpieza,4,100.54,Cliente_7,Monterrey,Transferencia,Entregado,402.16
2024-03-06,Pan,Alimentos,4,32.42,Cliente_68,CDMX,Efectivo,Entregado,129.68
2024-04-21,Licuadora,Electrónica,1,1789.32,Cliente_37,CDMX,Transferencia,Entregado,1789.32
2024-01-13,Detergente,Limpieza,3,132.27,Cliente_56,Toluca,Efectivo,Entregado,396.81
2024-03-26,Pan,Alimentos,3,28.12,Cliente_65,Mérida,PayPal,Entregado,84.36
2024-08-21,Refresco,Bebidas,3,40.18,Cliente_65,CDMX,Tarjeta,En camino,120.54
2024-03-30,Refresco,Bebidas,5,45.63,Cliente_47,Monterrey,PayPal,Cancelado,228.15
2024-11-09,Cereal,Alimentos,2,64.58,Cliente_20,Puebla,Efectivo,Entregado,129.16
2024-02-23,Detergente,Limpieza,5,121.73,Cliente_19,Puebla,Transferencia,Entregado,608.65
2024-01-12,Refresco,Bebidas,2,37.23,Cliente_29,Toluca,PayPal,En camino,74.46
2024-07-27,Pan,Alimentos,3,26.18,Cliente_74,Querétaro,Transferencia,En camino,78.54
2024-01-14,Cereal,Alimentos,3,66.75,Cliente_60,Monterrey,Transferencia,Cancelado,200.25
2024-04-30,Pan,Alimentos,5,28.93,Cliente_18,Monterrey,Transferencia,En camino,144.65
2024-01-20,Cereal,Alimentos,5,64.97,Cliente_92,CDMX,PayPal,Cancelado,324.85
2024-03-15,Detergente,Limpieza,2,142.6,Cliente_35,Mérida,Transferencia,Entregado,285.2
2024-08-30,Licuadora,Electrónica,4,1558.46,Cliente_43,Monterrey,Transferencia,Entregado,6233.84
2024-08-10,Televisión,Electrónica,2,11663.63,Cliente_95,Guadalajara,PayPal,Cancelado,23327.26
2024-03-10,Shampoo,Cuidado Personal,5,79.39,Cliente_91,Querétaro,Transferencia,En camino,396.95
2024-11-07,Licuadora,Electrónica,6,2190.68,Cliente_11,CDMX,PayPal,Cancelado,13144.08
2024-07-29,Papel Higiénico,Hogar,5,97.8,Cliente_49,Guadalajara,Efectivo,En camino,489.0
2024-04-10,Pan,Alimentos,6,32.33,Cliente_38,Toluca,Efectivo,Entregado,193.98
2024-07-04,Papel Higiénico,Hogar,1,73.83,Cliente_64,Puebla,Efectivo,En camino,73.83
2024-05-11,Licuadora,Electrónica,5,1872.1,Cliente_69,Toluca,Transferencia,Cancelado,9360.5
2024-04-20,Cereal,Alimentos,1,79.34,Cliente_8,Puebla,Tarjeta,Cancelado,79.34
2024-05-11,Shampoo,Cuidado Personal,4,86.05,Cliente_34,Toluca,Tarjeta,Entregado,344.2
2024-01-20,Shampoo,Cuidado Personal,2,98.58,Cliente_48,Monterrey,Transferencia,En camino,197.16
2024-01-24,Leche,Alimentos,6,32.28,Cliente_56,Guadalajara,Tarjeta,En camino,193.68
2024-08-14,Shampoo,Cuidado Personal,2,102.97,Cliente_76,Puebla,PayPal,En camino,205.94
2024-06-02,Televisión,Electrónica,1,16138.02,Cliente_65,CDMX,Tarjeta,Entregado,16138.02
2024-10-19,Shampoo,Cuidado Personal,6,80.37,Cliente_31,Guadalajara,Transferencia,En camino,482.22
2024-08-17,Licuadora,Electrónica,2,1679.71,Cliente_4,CDMX,Transferencia,Cancelado,3359.42
2024-11-05,Leche,Alimentos,5,42.63,Cliente_50,Guadalajara,PayPal,En camino,213.15
2024-12-24,Licuadora,Electrónica,3,2226.48,Cliente_69,Guadalajara,Efectivo,Entregado,6679.44
2024-07-20,Licuadora,Electrónica,1,1658.83,Cliente_30,Toluca,Transferencia,En camino,1658.83
2024-02-07,Arroz,Despensa,2,42.16,Cliente_88,Puebla,PayPal,En camino,84.32
2024-09-16,Leche,Alimentos,1,33.52,Cliente_59,Puebla,Tarjeta,Cancelado,33.52
2024-07-06,Licuadora,Electrónica,7,1437.0,Cliente_67,Mérida,Tarjeta,En camino,10059.0
2024-02-26,Arroz,Despensa,1,38.8,Cliente_75,Guadalajara,PayPal,Cancelado,38.8
2024-01-20,Arroz,Despensa,6,38.22,Cliente_45,Monterrey,PayPal,Cancelado,229.32
2024-09-29,Leche,Alimentos,7,30.97,Cliente_4,Monterrey,Transferencia,Entregado,216.79
2024-04-28,Papel Higiénico,Hogar,6,94.51,Cliente_26,CDMX,Tarjeta,Cancelado,567.06
2024-03-11,Cereal,Alimentos,3,72.46,Cliente_27,CDMX,PayPal,Cancelado,217.38
2024-01-04,Televisión,Electrónica,7,14790.9,Cliente_46,Toluca,Tarjeta,Entregado,103536.3
2024-08-08,Cereal,Alimentos,5,59.52,Cliente_64,Guadalajara,PayPal,Cancelado,297.6
2024-01-14,Shampoo,Cuidado Personal,1,97.55,Cliente_91,CDMX,Tarjeta,Entregado,97.55
2024-01-03,Televisión,Electrónica,2,11614.82,Cliente_51,CDMX,Efectivo,En camino,23229.64
2024-08-03,Shampoo,Cuidado Personal,4,84.37,Cliente_50,Querétaro,Transferencia,Entregado,337.48
2024-08-16,Licuadora,Electrónica,1,1982.2,Cliente_6,Guadalajara,Tarjeta,Cancelado,1982.2
2024-12-01,Pan,Alimentos,1,23.28,Cliente_59,Toluca,Efectivo,Entregado,23.28
2024-07-04,Leche,Alimentos,3,37.01,Cliente_15,CDMX,Tarjeta,Cancelado,111.03
2024-02-24,Televisión,Electrónica,5,12299.61,Cliente_30,Toluca,Tarjeta,En camino,61498.05
2024-09-10,Televisión,Electrónica,4,12886.41,Cliente_42,Puebla,Efectivo,Entregado,51545.64
2024-01-24,Licuadora,Electrónica,7,1878.08,Cliente_37,Toluca,Tarjeta,En camino,13146.56
2024-06-10,Papel Higiénico,Hogar,7,129.99,Cliente_42,Monterrey,Tarjeta,Cancelado,909.93
2024-06-06,Arroz,Despensa,7,40.7,Cliente_35,Monterrey,Transferencia,Cancelado,284.9
2024-03-22,Licuadora,Electrónica,6,1656.63,Cliente_87,Toluca,Efectivo,En camino,9939.78
2024-06-07,Refresco,Bebidas,6,36.26,Cliente_6,Monterrey,Efectivo,Entregado,217.56
2024-07-06,Arroz,Despensa,2,41.25,Cliente_68,Puebla,PayPal,Entregado,82.5
2024-02-29,Leche,Alimentos,4,31.65,Cliente_18,Guadalajara,Tarjeta,Cancelado,126.6
2024-10-31,Arroz,Despensa,7,53.03,Cliente_73,Monterrey,Transferencia,En camino,371.21
2024-11-14,Papel Higiénico,Hogar,6,115.24,Cliente_29,Monterrey,Tarjeta,En camino,691.44
2024-07-29,Arroz,Despensa,2,41.15,Cliente_77,Toluca,Tarjeta,Entregado,82.3
2024-05-31,Leche,Alimentos,5,30.63,Cliente_59,Puebla,PayPal,Entregado,153.15
2024-04-18,Papel Higiénico,Hogar,2,101.72,Cliente_47,Mérida,Tarjeta,Entregado,203.44
2024-03-16,Cereal,Alimentos,6,64.2,Cliente_17,Mérida,Transferencia,En camino,385.2
2024-01-30,Televisión,Electrónica,3,13139.28,Cliente_96,Mérida,Transferencia,Entregado,39417.84
2024-11-09,Televisión,Electrónica,3,12365.26,Cliente_22,Mérida,PayPal,Entregado,37095.78
2024-04-26,Shampoo,Cuidado Personal,7,65.67,Cliente_68,Guadalajara,Tarjeta,Cancelado,459.69
2024-12-21,Cereal,Alimentos,3,86.25,Cliente_69,Toluca,Transferencia,Entregado,258.75
2024-07-10,Cereal,Alimentos,7,88.86,Cliente_37,Toluca,Tarjeta,Entregado,622.02
2024-01-19,Arroz,Despensa,7,40.86,Cliente_49,Querétaro,Tarjeta,En camino,286.02
2024-06-21,Televisión,Electrónica,6,11302.14,Cliente_13,Puebla,Tarjeta,En camino,67812.84
2024-08-15,Leche,Alimentos,3,36.5,Cliente_34,Mérida,PayPal,Cancelado,109.5
2024-12-15,Detergente,Limpieza,7,126.02,Cliente_86,Guadalajara,Tarjeta,Entregado,882.14
2024-07-01,Detergente,Limpieza,4,131.85,Cliente_53,Puebla,Transferencia,Cancelado,527.4
2024-04-22,Papel Higiénico,Hogar,5,123.65,Cliente_87,Mérida,Tarjeta,En camino,618.25
2024-07-01,Televisión,Electrónica,2,11681.49,Cliente_51,Guadalajara,Transferencia,Cancelado,23362.98
2024-05-25,Televisión,Electrónica,2,10563.06,Cliente_3,Puebla,Tarjeta,En camino,21126.12
2024-11-14,Detergente,Limpieza,6,95.17,Cliente_42,Toluca,Transferencia,Cancelado,571.02
2024-04-25,Televisión,Electrónica,3,10684.33,Cliente_98,Toluca,Transferencia,Cancelado,32052.99
2024-04-22,Arroz,Despensa,3,44.78,Cliente_32,CDMX,Tarjeta,Entregado,134.34
2024-09-07,Refresco,Bebidas,7,50.77,Cliente_51,Monterrey,Tarjeta,Cancelado,355.39
2024-09-07,Pan,Alimentos,1,25.83,Cliente_85,Mérida,Transferencia,Entregado,25.83
2024-10-29,Cereal,Alimentos,7,72.35,Cliente_46,Querétaro,Efectivo,Entregado,506.45
2024-11-08,Shampoo,Cuidado Personal,5,84.79,Cliente_21,Puebla,PayPal,Entregado,423.95
2024-04-27,Papel Higiénico,Hogar,4,111.93,Cliente_44,Querétaro,Efectivo,Entregado,447.72
2024-10-27,Refresco,Bebidas,2,55.16,Cliente_11,CDMX,Efectivo,Cancelado,110.32
2024-06-09,Detergente,Limpieza,7,110.44,Cliente_68,Monterrey,Tarjeta,En camino,773.08
2024-07-16,Cereal,Alimentos,1,64.86,Cliente_1,Puebla,PayPal,En camino,64.86
2024-09-16,Televisión,Electrónica,1,13879.49,Cliente_92,Guadalajara,Efectivo,En camino,13879.49
2024-05-27,Shampoo,Cuidado Personal,7,93.69,Cliente_63,Mérida,Tarjeta,Cancelado,655.83
2024-08-27,Televisión,Electrónica,6,15324.07,Cliente_24,Monterrey,Efectivo,Entregado,91944.42
2024-02-16,Leche,Alimentos,2,38.07,Cliente_99,Toluca,Efectivo,En camino,76.14
2024-07-16,Leche,Alimentos,6,33.11,Cliente_13,CDMX,Tarjeta,Cancelado,198.66
2024-02-16,Shampoo,Cuidado Personal,4,92.53,Cliente_98,Monterrey,Tarjeta,Entregado,370.12
2024-03-18,Shampoo,Cuidado Personal,1,99.14,Cliente_11,Mérida,Tarjeta,En camino,99.14
2024-05-03,Detergente,Limpieza,1,134.77,Cliente_100,Monterrey,PayPal,Entregado,134.77
2024-03-15,Shampoo,Cuidado Personal,5,91.47,Cliente_51,Mérida,Efectivo,En camino,457.35
2024-12-24,Arroz,Despensa,4,52.2,Cliente_17,Toluca,Tarjeta,En camino,208.8
2024-05-16,Televisión,Electrónica,1,14104.73,Cliente_99,Puebla,Transferencia,En camino,14104.73
2024-03-30,Refresco,Bebidas,4,48.29,Cliente_82,Guadalajara,Efectivo,Entregado,193.16
2024-11-20,Licuadora,Electrónica,2,1975.15,Cliente_86,Toluca,Transferencia,Cancelado,3950.3
2024-03-01,Shampoo,Cuidado Personal,3,82.87,Cliente_24,Guadalajara,PayPal,Entregado,248.61
2024-05-17,Papel Higiénico,Hogar,1,97.09,Cliente_19,Puebla,Tarjeta,En camino,97.09
2024-02-19,Leche,Alimentos,5,41.33,Cliente_37,Monterrey,Transferencia,Entregado,206.65
2024-09-15,Arroz,Despensa,2,39.49,Cliente_85,Guadalajara,PayPal,Cancelado,78.98
2024-04-16,Cereal,Alimentos,7,73.87,Cliente_8,CDMX,Tarjeta,Entregado,517.09
2024-04-22,Licuadora,Electrónica,4,1693.8,Cliente_28,CDMX,Transferencia,Cancelado,6775.2
2024-12-15,Refresco,Bebidas,7,40.17,Cliente_5,Mérida,Transferencia,Cancelado,281.19
2024-09-10,Licuadora,Electrónica,6,2145.18,Cliente_17,Toluca,PayPal,Entregado,12871.08
2024-04-27,Shampoo,Cuidado Personal,2,87.44,Cliente_36,Puebla,Tarjeta,En camino,174.88
2024-07-16,Detergente,Limpieza,7,120.84,Cliente_19,Mérida,Tarjeta,Cancelado,845.88
2024-12-02,Leche,Alimentos,1,27.86,Cliente_64,Toluca,Transferencia,Entregado,27.86
2024-12-30,Leche,Alimentos,4,38.92,Cliente_91,Toluca,Transferencia,Cancelado,155.68
2024-02-20,Cereal,Alimentos,3,76.78,Cliente_98,Mérida,Transferencia,En camino,230.34
2024-09-01,Detergente,Limpieza,2,158.94,Cliente_11,Querétaro,Tarjeta,Entregado,317.88
2024-02-04,Televisión,Electrónica,1,11446.0,Cliente_54,Toluca,PayPal,Entregado,11446.0
2024-10-28,Pan,Alimentos,5,28.92,Cliente_45,Querétaro,PayPal,Entregado,144.6
2024-03-09,Arroz,Despensa,6,46.68,Cliente_47,CDMX,Tarjeta,En camino,280.08
2024-12-14,Leche,Alimentos,4,43.28,Cliente_12,CDMX,Efectivo,Cancelado,173.12
2024-11-15,Papel Higiénico,Hogar,2,93.64,Cliente_21,Toluca,PayPal,Entregado,187.28
2024-02-18,Leche,Alimentos,2,36.46,Cliente_11,CDMX,Transferencia,Cancelado,72.92
2024-03-14,Licuadora,Electrónica,3,1964.13,Cliente_92,Puebla,Efectivo,Cancelado,5892.39
2024-07-10,Leche,Alimentos,3,35.98,Cliente_5,Querétaro,Efectivo,En camino,107.94
2024-09-17,Leche,Alimentos,5,32.66,Cliente_81,Querétaro,PayPal,Entregado,163.3
2024-12-21,Pan,Alimentos,6,28.82,Cliente_56,Toluca,Efectivo,Cancelado,172.92
2024-03-10,Pan,Alimentos,5,32.51,Cliente_20,CDMX,Efectivo,Entregado,162.55
2024-03-30,Refresco,Bebidas,1,33.84,Cliente_41,Guadalajara,PayPal,Entregado,33.84
2024-09-16,Televisión,Electrónica,1,12239.35,Cliente_46,Mérida,PayPal,En camino,12239.35
2024-05-05,Papel Higiénico,Hogar,5,85.02,Cliente_12,Mérida,Efectivo,Entregado,425.1
2024-08-18,Leche,Alimentos,6,41.27,Cliente_70,Querétaro,Transferencia,Entregado,247.62
2024-10-21,Leche,Alimentos,5,27.0,Cliente_17,Toluca,Tarjeta,Cancelado,135.0
2024-05-08,Arroz,Despensa,6,41.23,Cliente_19,Toluca,Efectivo,En camino,247.38
2024-10-06,Pan,Alimentos,6,29.58,Cliente_26,Puebla,Efectivo,Entregado,177.48
2024-11-08,Papel Higiénico,Hogar,7,117.31,Cliente_48,Monterrey,Transferencia,Cancelado,821.17
2024-04-09,Cereal,Alimentos,4,69.31,Cliente_52,Monterrey,Efectivo,En camino,277.24
2024-11-21,Refresco,Bebidas,6,36.67,Cliente_96,Querétaro,Efectivo,En camino,220.02
2024-10-23,Televisión,Electrónica,3,15386.08,Cliente_70,Mérida,Tarjeta,Cancelado,46158.24
2024-06-30,Detergente,Limpieza,6,93.94,Cliente_55,Puebla,Tarjeta,Cancelado,563.64
2024-06-22,Televisión,Electrónica,6,8042.15,Cliente_100,Puebla,Tarjeta,Cancelado,48252.9
2024-11-11,Licuadora,Electrónica,6,1918.8,Cliente_75,Puebla,PayPal,Cancelado,11512.8
2024-12-29,Leche,Alimentos,7,32.36,Cliente_33,Querétaro,PayPal,Cancelado,226.52
2024-07-06,Refresco,Bebidas,7,33.87,Cliente_62,Monterrey,Tarjeta,Entregado,237.09
2024-02-26,Licuadora,Electrónica,1,1991.26,Cliente_88,Mérida,Tarjeta,Entregado,1991.26
2024-01-31,Papel Higiénico,Hogar,7,98.47,Cliente_23,Puebla,PayPal,En camino,689.29
2024-03-24,Detergente,Limpieza,3,109.85,Cliente_15,Mérida,Transferencia,Entregado,329.55
2024-05-31,Pan,Alimentos,3,22.62,Cliente_27,CDMX,Efectivo,Entregado,67.86
2024-02-05,Refresco,Bebidas,7,45.23,Cliente_75,Toluca,Efectivo,Entregado,316.61
2024-07-31,Refresco,Bebidas,5,43.9,Cliente_64,Toluca,Tarjeta,Cancelado,219.5
2024-12-29,Leche,Alimentos,4,34.48,Cliente_81,Mérida,Transferencia,En camino,137.92
2024-04-15,Shampoo,Cuidado Personal,7,108.54,Cliente_51,Guadalajara,PayPal,En camino,759.78
2024-12-07,Refresco,Bebidas,6,33.58,Cliente_53,Guadalajara,Tarjeta,En camino,201.48
2024-08-07,Arroz,Despensa,2,34.7,Cliente_78,Querétaro,Transferencia,En camino,69.4
2024-06-11,Detergente,Limpieza,4,107.55,Cliente_91,Querétaro,Transferencia,Entregado,430.2
2024-08-07,Detergente,Limpieza,4,119.18,Cliente_82,Toluca,Transferencia,Entregado,476.72
2024-09-26,Arroz,Despensa,3,46.64,Cliente_92,CDMX,PayPal,Cancelado,139.92
2024-04-29,Cereal,Alimentos,4,67.47,Cliente_51,Monterrey,PayPal,En camino,269.88
2024-12-01,Arroz,Despensa,7,47.38,Cliente_47,Monterrey,Efectivo,Entregado,331.66
2024-06-30,Arroz,Despensa,6,36.55,Cliente_4,Querétaro,Efectivo,Entregado,219.3
2024-04-15,Detergente,Limpieza,6,145.99,Cliente_7,CDMX,Transferencia,Cancelado,875.94
2024-08-04,Televisión,Electrónica,1,11852.13,Cliente_35,Querétaro,Transferencia,Cancelado,11852.13
2024-07-23,Detergente,Limpieza,6,140.11,Cliente_48,Monterrey,PayPal,Cancelado,840.66
2024-03-10,Shampoo,Cuidado Personal,6,89.37,Cliente_73,Mérida,Efectivo,Entregado,536.22
2024-02-13,Leche,Alimentos,3,37.4,Cliente_72,Querétaro,Transferencia,Entregado,112.2
2024-11-24,Licuadora,Electrónica,6,1953.84,Cliente_45,Puebla,Efectivo,Cancelado,11723.04
2024-10-27,Televisión,Electrónica,1,12805.88,Cliente_81,Mérida,Efectivo,En camino,12805.88
2024-08-15,Pan,Alimentos,2,30.7,Cliente_81,Querétaro,Transferencia,Cancelado,61.4
2024-07-02,Licuadora,Electrónica,7,2158.87,Cliente_97,Toluca,PayPal,Cancelado,15112.09
2024-04-16,Leche,Alimentos,3,36.03,Cliente_96,Querétaro,Transferencia,Cancelado,108.09
2024-03-24,Shampoo,Cuidado Personal,2,94.04,Cliente_72,Toluca,Transferencia,Cancelado,188.08
2024-12-03,Shampoo,Cuidado Personal,3,83.86,Cliente_19,CDMX,Efectivo,Entregado,251.58
2024-09-06,Pan,Alimentos,5,34.05,Cliente_63,Monterrey,Transferencia,En camino,170.25
2024-12-28,Televisión,Electrónica,4,10782.49,Cliente_38,Mérida,PayPal,Cancelado,43129.96
2024-01-21,Cereal,Alimentos,5,88.91,Cliente_67,Mérida,Transferencia,En camino,444.55
2024-07-14,Arroz,Despensa,6,44.73,Cliente_59,Guadalajara,PayPal,En camino,268.38
2024-06-26,Televisión,Electrónica,2,9424.6,Cliente_69,Guadalajara,PayPal,En camino,18849.2
2024-01-07,Cereal,Alimentos,6,71.35,Cliente_13,Monterrey,Efectivo,Cancelado,428.1
2024-03-10,Shampoo,Cuidado Personal,4,76.32,Cliente_47,Guadalajara,Tarjeta,Entregado,305.28
2024-05-06,Detergente,Limpieza,3,135.13,Cliente_61,Mérida,Tarjeta,Cancelado,405.39
2024-06-08,Leche,Alimentos,4,31.57,Cliente_31,Querétaro,Efectivo,En camino,126.28
2024-09-04,Pan,Alimentos,1,26.13,Cliente_80,CDMX,Transferencia,En camino,26.13
2024-07-21,Leche,Alimentos,4,25.08,Cliente_96,CDMX,Efectivo,Entregado,100.32
2024-05-27,Papel Higiénico,Hogar,1,88.55,Cliente_22,Monterrey,PayPal,Cancelado,88.55
2024-05-22,Papel Higiénico,Hogar,4,60.46,Cliente_93,Guadalajara,Tarjeta,En camino,241.84
2024-07-17,Televisión,Electrónica,7,9148.97,Cliente_86,Querétaro,Efectivo,Entregado,64042.79
2024-06-02,Shampoo,Cuidado Personal,1,94.7,Cliente_43,CDMX,Transferencia,En camino,94.7
2024-05-21,Shampoo,Cuidado Personal,2,95.02,Cliente_67,CDMX,Efectivo,Entregado,190.04
2024-11-08,Arroz,Despensa,6,47.87,Cliente_54,Puebla,Tarjeta,Entregado,287.22
2024-06-13,Arroz,Despensa,6,38.47,Cliente_10,Puebla,Efectivo,Cancelado,230.82
2024-11-09,Arroz,Despensa,5,44.68,Cliente_42,Mérida,Efectivo,En camino,223.4
2024-01-21,Detergente,Limpieza,6,119.94,Cliente_64,CDMX,Tarjeta,Cancelado,719.64
2024-03-22,Licuadora,Electrónica,3,1487.24,Cliente_21,Monterrey,PayPal,En camino,4461.72
2024-03-09,Refresco,Bebidas,7,49.02,Cliente_80,Toluca,PayPal,Cancelado,343.14
2024-05-10,Licuadora,Electrónica,4,2036.89,Cliente_76,Toluca,Tarjeta,En camino,8147.56
2024-03-27,Leche,Alimentos,5,33.84,Cliente_66,Querétaro,Efectivo,Cancelado,169.2
2024-08-05,Licuadora,Electrónica,3,1807.26,Cliente_41,CDMX,Tarjeta,Entregado,5421.78
2024-10-31,Detergente,Limpieza,3,123.75,Cliente_24,CDMX,PayPal,En camino,371.25
2024-12-10,Leche,Alimentos,1,24.28,Cliente_35,Mérida,Transferencia,En camino,24.28
2024-12-06,Licuadora,Electrónica,6,1733.26,Cliente_56,CDMX,Efectivo,Entregado,10399.56
2024-06-09,Detergente,Limpieza,2,107.72,Cliente_30,Monterrey,PayPal,Cancelado,215.44
2024-06-26,Refresco,Bebidas,2,33.99,Cliente_57,Puebla,Efectivo,En camino,67.98
2024-04-26,Licuadora,Electrónica,5,1724.1,Cliente_94,CDMX,Tarjeta,En camino,8620.5
2024-07-14,Detergente,Limpieza,7,152.36,Cliente_47,CDMX,Transferencia,Cancelado,1066.52
2024-11-22,Arroz,Despensa,2,49.33,Cliente_35,Mérida,Tarjeta,Entregado,98.66
2024-03-26,Shampoo,Cuidado Personal,4,77.72,Cliente_19,Guadalajara,Transferencia,Cancelado,310.88
2024-10-15,Arroz,Despensa,2,48.86,Cliente_8,Mérida,Efectivo,Cancelado,97.72
2024-03-21,Shampoo,Cuidado Personal,5,102.84,Cliente_26,Mérida,Efectivo,Cancelado,514.2
2024-05-31,Pan,Alimentos,2,31.88,Cliente_71,Monterrey,Tarjeta,En camino,63.76
2024-03-01,Pan,Alimentos,4,28.25,Cliente_30,Querétaro,Transferencia,Entregado,113.0
2024-03-01,Pan,Alimentos,1,25.28,Cliente_7,CDMX,Transferencia,Entregado,25.28
2024-12-19,Refresco,Bebidas,7,44.19,Cliente_67,Mérida,Efectivo,Cancelado,309.33
2024-01-28,Arroz,Despensa,5,47.66,Cliente_65,Mérida,Tarjeta,En camino,238.3
